#,Business Name,Category,Town,Phone,Email,Address,Website Status,Rating,Outreach Status,Email Sent,Follow-up 1,Follow-up 2,Notes,GBP Link
1,J Sage Plumbing and Heating,Plumber,Colchester,07714 340551,,Endsleigh Ct Colchester CO3 3QW,No Website,,Not Started,,,,,https://www.google.com/maps/place/J+Sage+Plumbing+and+Heating/data=!4m7!3m6!1s0x47d9037dad5bf04d:0xff1736fb42f3b7ca!8m2!3d51.8893289!4d0.8784517!16s%2Fg%2F11c6f1sx_3!19sChIJTfBbrX0D2UcRyrfzQvs2F_8?hl=en
2,"GreenStar Powerflushing, Gas, Plumbing and Heating",Plumber,Colchester,07455 107724,,31A N Station Rd Colchester CO1 1RQ,No Website,,Not Started,,,,,
3,Mended plumbing and heating service,Gas engineer,Colchester,07738 862960,,37 Hythe Hill Colchester CO1 2NQ,No Website,5.0,Not Started,,,,,
4,Essex Plumbing & Heating,Plumber,Chelmsford,07399 446671,,Crocus Way Springfield Chelmsford CM1 6XJ,No Website,,Not Started,,,,,
5,Chelmsford Plumbers Ltd,Plumber,Chelmsford,01245 926110,,86 Linnet Dr Chelmsford CM2 8AF,No Website,,Not Started,,,,,
6,All Clear Plumbing and Heating,Plumber,Chelmsford,07980 385481,,20 Further Mdw Writtle Chelmsford CM1 3LE,No Website,,Not Started,,,,,
7,Chelmsford Plumbing and Heating Services Ltd,Plumber,Chelmsford,07360 268550,,7 Goldlay Gardens Chelmsford CM2 0EN,No Website,4.0,Not Started,,,,,
8,Zone 1 Plumbing,Plumber,Basildon,07821 093929,,,No Website,,Not Started,,,,,
9,Act Fast Plumbing,Plumber,Basildon,07842 624192,,36 Southernhay Basildon SS14 1ET,Poor - Directory/booking platform,4.9,Not Started,,,,,
10,London Plumbers And Heating ltd,Central Heating Service,Basildon,07475 011972,,61 Wimbish End Basildon SS13 3PG,No Website,,Not Started,,,,,
11,J Holt plumbing Ltd,Plumber,Basildon,07943 782065,,,No Website,,Not Started,,,,,
12,Plumbers direct 24h,Plumber,Basildon,07598 625707,,,No Website,,Not Started,,,,,
13,Zak's Plumbing,Plumber,Southend-on-Sea,07378 438791,,112 Brightwell Ave Westcliff-on-Sea SS0 9EF,No Website,4.9,Not Started,,,,,
14,Urban Sanitation,Plumber,Southend-on-Sea,07739 719912,,42 Moseley St Southend-on-Sea SS2 4NN,Poor - Social media page,,Not Started,,,,,
15,TRM Plumbing Services,Plumber,Braintree,07729 200989,,18 Dapifer Dr Braintree CM7 3LG,Poor - Free website builder,,Not Started,,,,,
16,Angel Plumbing and Heating,Plumber,Braintree,01245 206143,,47 Rushmoor Dr Braintree CM7 1TW,No Website,,Not Started,,,,,
17,Matt Brundle Electrical,Electrician,Colchester,07734 603202,,23 Bolsin Dr Colchester CO4 5FD,No Website,,Not Started,,,,,
18,David Blundell Electrical,Electrician,Colchester,07906 868122,,10 Armidale Walk Colchester CO2 8XS,No Website,,Not Started,,,,,
19,AMC Electrical,Electrical installation service,Colchester,07534 446358,,"1, London Cottages, School Ln, Colchester CO6 4BP",Poor - Free website builder,,Not Started,,,,,
20,A B Electrical Essex Ltd,Electrician,Chelmsford,07746 833777,,Forefield Grn Springfield Chelmsford CM1 6YU,Poor - Social media page,,Not Started,,,,,
21,Mead Electrical Services Essex,Electrician,Chelmsford,07751 222603,,Tower Ave Chelmsford CM1 2PW,Poor - Social media page,,Not Started,,,,,
22,MB Chelmsford Electricians,Electrician,Chelmsford,01245 331245,,Ashton Pl Chelmer Village Chelmsford CM2 6RF,No Website,,Not Started,,,,,
23,Baddow Electrical,Electrician,Chelmsford,07920 742556,,14 Longmore Ave Great Baddow Chelmsford CM2 7NT,No Website,,Not Started,,,,,
24,SS Electrical,Electrician,Basildon,07500 056818,,,Poor - Social media page,,Not Started,,,,,
25,AA Electrical Services,Electrician,Basildon,07800 871257,,500 Whitmore Way Basildon SS14 2ET,No Website,5.0,Not Started,,,,,
26,Basildon Electrics,Electrician,Basildon,01268 525035,,14 The Fryth Basildon SS14 3PL,No Website,5.0,Not Started,,,,,
27,I B Electrical London Limited,Electrician,Basildon,07894 940308,,51 Bockingham Grn Basildon SS13 1PF,No Website,,Not Started,,,,,
28,JB Electrical Services,Electrician,Basildon,07455 733773,,19 Roberts Rd Laindon Basildon SS15 6AY,No Website,,Not Started,,,,,
29,Powerlec Electrical & Testing Ltd,Electrician,Southend-on-Sea,01702 952951,,39 Midhurst Ave Westcliff-on-Sea SS0 0NP,No Website,,Not Started,,,,,
30,DG Electrical,Electrician,Southend-on-Sea,07799 584890,,Ladylands Poynters Ln Southend-on-Sea SS3 9TS,No Website,,Not Started,,,,,
31,Legends Hair Studio,Hairdresser,Colchester,01206 577907,,"2, The Square, Iceni Way, Colchester CO2 9EB",No Website,,Not Started,,,,,
32,Hair Pimps,Hairdresser,Colchester,01206 710470,,15 Sir Isaac's Walk Colchester CO1 1JJ,No Website,4.8,Not Started,,,,,
33,AB Beauty salon Afro-Caribbean Hair,Hairdresser,Colchester,01206 572385,,12a Headgate Colchester CO3 3BT,No Website,4.9,Not Started,,,,,
34,The Chelmsford Hair Salon,Hairdresser,Chelmsford,07984 436770,,1 Tindal Square Chelmsford CM1 1EH,Poor - Directory/booking platform,4.9,Not Started,,,,,
35,Hair by Rose Essex,Hairdresser,Chelmsford,07751 448051,,Scotts Walk Chelmsford CM1 2HB,Poor - Social media page,,Not Started,,,,,
36,The Hair Shed,Hairdresser,Basildon,07854 046405,,Park Cottages Bowers Ct Dr Basildon SS13 2DT,Poor - Social media page,5.0,Not Started,,,,,
37,Coco Hair & Beauty,Hairdresser,Basildon,07951 838867,,30 Southernhay Basildon SS14 1EL,No Website,,Not Started,,,,,
38,Hair Goddess,Hairdresser,Basildon,07456 446404,,4 Trinity Cl Laindon Basildon SS15 5FT,No Website,,Not Started,,,,,
39,Twisted hair and beauty,Hairdresser,Basildon,01268 542005,,"43, Presidents Court, 50 Hoover Dr, Basildon SS15 6LF",No Website,,Not Started,,,,,
40,Headquarters Unisex Hair Salon,Hairdresser,Basildon,01268 543059,,29 Ballards Walk Basildon SS15 5HL,Poor - Social media page,,Not Started,,,,,
41,Styles Hair Studio,Barber shop,Basildon,01268 474447,,215 Timberlog Ln Basildon SS14 1PB,No Website,4.7,Not Started,,,,,
42,Reflections,Hairdresser,Basildon,01268 272737,,108 Rectory Rd Pitsea Basildon SS13 2AH,No Website,4.3,Not Started,,,,,
43,Curls and Coils Hair Salon,Hairdresser,Basildon,07940 222954,,Market Square Basildon SS14 1BZ,No Website,,Not Started,,,,,
44,The Cut Inn Hairdressers,Barber shop,Basildon,01268 545310,,5 Kibcaps Lee Chapel Basildon SS16 5SA,No Website,,Not Started,,,,,
45,Head Hunters of Southend,Hairdresser,Southend-on-Sea,01702 468269,,"Unit B3-B4, The Victoria Shopping Centre, Southend-on-Sea SS2 5SP",No Website,,Not Started,,,,,
46,"Kings & Queens Unisex Salon & Barbers Southend, Essex",Hairdresser,Southend-on-Sea,01702 334400,,133 High St Southend-on-Sea SS1 1LH,No Website,4.7,Not Started,,,,,
